UCD_sector;mode;size_class;UCD_technology;UCD_fuel;univocalName;technology
Freight;Truck;Truck (0-2t);Liquids;Liquids;Truck (0-3.5t);Liquids
Freight;Truck;Truck (0-2t);NG;Natural Gas;Truck (0-3.5t);Gases
Freight;Truck;Truck (2-5t);Liquids;Liquids;Truck (0-3.5t);Liquids
Freight;Truck;Truck (2-5t);NG;Natural Gas;Truck (0-3.5t);Gases
Freight;Truck;Truck (5-9t);Liquids;Liquids;Truck (7.5t);Liquids
Freight;Truck;Truck (5-9t);NG;Natural Gas;Truck (7.5t);Gases
Freight;Truck;Truck (9-16t);Liquids;Liquids;Truck (18t);Liquids
Freight;Truck;Truck (9-16t);NG;Natural Gas;Truck (18t);Gases
Freight;Truck;Truck (0-1t);Liquids;Liquids;Truck (0-3.5t);Liquids
Freight;Truck;Truck (0-1t);NG;Natural Gas;Truck (0-3.5t);Gases
Freight;Truck;Truck (1-6t);Liquids;Liquids;Truck (7.5t);Liquids
Freight;Truck;Truck (1-6t);NG;Natural Gas;Truck (7.5t);Gases
Freight;Truck;Truck (6-30t);Liquids;Liquids;Truck (18t);Liquids
Freight;Truck;Truck (6-30t);NG;Natural Gas;Truck (18t);Gases
Freight;Truck;Truck (0-4.5t);Liquids;Liquids;Truck (0-3.5t);Liquids
Freight;Truck;Truck (0-4.5t);NG;Natural Gas;Truck (0-3.5t);Gases
Freight;Truck;Truck (4.5-15t);Liquids;Liquids;Truck (7.5t);Liquids
Freight;Truck;Truck (4.5-15t);NG;Natural Gas;Truck (7.5t);Gases
Freight;Truck;Truck (>15t);Liquids;Liquids;Truck (26t);Liquids
Freight;Truck;Truck (>15t);NG;Natural Gas;Truck (26t);Gases
Passenger;Bus;Heavy Bus;Liquids;Liquids;Bus;Liquids
Passenger;Bus;Heavy Bus;NG;Natural Gas;Bus;Gases
Passenger;Bus;Light Bus;Liquids;Liquids;Bus;Liquids
Passenger;Bus;Light Bus;NG;Natural Gas;Bus;Gases
